type,price,qty,status,operation,balance,orderId,orderLinkId,profit_loss
buy,0.2318059299192327,5.0,ok,1,1.76186014 ETH,1709000102934479360,1709000102934479361,0.0
buy,0.2318059299192327,5.0,ok,2,1.76325902 ETH,1709000107086840320,1709000107086840321,0.0
buy,0.2318059299192327,5.0,ok,3,1.76465790 ETH,1709000114519147008,1709000114519147009,0.0
buy,0.2371967654986519,5.0,ok,4,1.76605678 ETH,1709000121993396736,1709000121993396737,0.0
sell,0.0,0.001,ok,5,1.76505678 ETH,1709000131413803520,1709000131413803521,-0.2371967654986519
buy,0.2371967654986519,5.0,ok,6,1.76645566 ETH,1709000135373226496,1709000135373226497,0.0
buy,0.2371967654986519,5.0,ok,7,1.76785454 ETH,1709000139466867200,1709000139466867201,0.0
buy,0.0026954177898232,5.0,ok,8,1.76925342 ETH,1709000143476621824,1709000143476621825,0.0
sell,0.0026954177898232,0.001,ok,9,1.76825342 ETH,1709000149407367680,1709000149407367681,0.0
sell,0.0026954177898232,0.001,ok,10,1.76725342 ETH,1709000155346502144,1709000155346502145,0.0
buy,0.0026954177898232,5.0,ok,11,1.76865230 ETH,1709000159331090944,1709000159331090945,0.0
sell,0.0,0.001,ok,12,1.76765230 ETH,1709000168717943296,1709000168717943297,-0.0026954177898232
buy,0.0,5.0,ok,13,1.76905118 ETH,1709000172744475136,1709000172744475137,0.0
buy,0.0053908355795329,5.0,ok,14,1.77045006 ETH,1709000176687120896,1709000176687120897,0.0
buy,0.0053908355795329,5.0,ok,15,1.77184894 ETH,1709000180646543872,1709000180646543873,0.0
buy,0.0053908355795329,5.0,ok,16,1.77324782 ETH,1709000184597578240,1709000184597578241,0.0
sell,0.0053908355795329,0.001,ok,17,1.77224782 ETH,1709000190595432960,1709000190595432961,0.0
buy,0.1590296495957091,5.0,ok,18,1.77364670 ETH,1709000194588410368,1709000194588410369,0.0
buy,0.307277628032466,5.0,ok,19,1.77504558 ETH,1709000198522667520,1709000198522667521,0.0
buy,0.1590296495957091,5.0,ok,20,1.77644446 ETH,1709000202490479104,1709000202490479105,0.0
buy,0.1590296495957091,5.0,ok,21,1.77784334 ETH,1709000206475067904,1709000206475067905,0.0
sell,0.3045822102426427,0.001,ok,22,1.77684334 ETH,1709000212439368192,1709000212439368193,0.14555256064693362
sell,0.3962264150944747,0.001,ok,23,1.77584334 ETH,1709000218445611520,1709000218445611521,0.23719676549876562
buy,0.3045822102426427,5.0,ok,24,1.77724222 ETH,1709000222463754752,1709000222463754753,0.0
sell,0.3045822102426427,0.001,ok,25,1.77624222 ETH,1709000228436443648,1709000228444832256,0.0
buy,0.307277628032466,5.0,ok,26,1.77764110 ETH,1709000232395866624,1709000232395866625,0.0
sell,0.3045822102426427,0.001,ok,27,1.77664110 ETH,1709000238326612480,1709000238326612481,-0.0026954177898232956
buy,0.307277628032466,5.0,ok,28,1.77803998 ETH,1709000242353144320,1709000242353144321,0.0
buy,0.307277628032466,5.0,ok,29,1.77943886 ETH,1709000246320955904,1709000246320955905,0.0
sell,0.5229110512129864,0.001,ok,30,1.77843886 ETH,1709000252285256192,1709000252285256193,0.21563342318052042
sell,0.5202156334232768,0.001,ok,31,1.77743886 ETH,1709000258174059008,1709000258174059009,0.21293800539081081
buy,0.5202156334232768,5.0,ok,32,1.77883774 ETH,1709000262175425024,1709000262175425025,0.0
